_id,_quantity,suit,value,pip
1,1,H,A,1
2,1,H,2,2
3,1,H,3,3
4,1,H,4,4
5,1,H,5,5
6,1,H,6,6
7,1,H,7,7
8,1,H,8,8
9,1,H,9,9
10,1,H,T,10
11,1,H,J,10
12,1,H,Q,10
13,1,H,K,10
14,1,C,A,1
15,1,C,2,2
16,1,C,3,3
17,1,C,4,4
18,1,C,5,5
19,1,C,6,6
20,1,C,7,7
21,1,C,8,8
22,1,C,9,9
23,1,C,T,10
24,1,C,J,10
25,1,C,Q,10
26,1,C,K,10
27,1,D,K,10
28,1,D,Q,10
29,1,D,J,10
30,1,D,T,10
31,1,D,9,9
32,1,D,8,8
33,1,D,7,7
34,1,D,6,6
35,1,D,5,5
36,1,D,4,4
37,1,D,3,3
38,1,D,2,2
39,1,D,A,1
40,1,S,K,10
41,1,S,Q,10
42,1,S,J,10
43,1,S,T,10
44,1,S,9,9
45,1,S,8,8
46,1,S,7,7
47,1,S,6,6
48,1,S,5,5
49,1,S,4,4
50,1,S,3,3
51,1,S,2,2
52,1,S,A,1
